"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","padj","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL311",-55.4067374249216,11.2834301091432,30.7365080742162,-4.91045159929023,2.8321410895237e-05,0.016256489853866,173.419950152525,188.392004967692,0.541202731097249,0.536960325969742,0.00916207695677848,1.83998498596095,39
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_spiroforme",-77.2383711341011,19.0562632938267,31.5499850235401,-4.05317506077504,0.000307469859709228,0.0540224439619181,177.652525201869,192.624580017036,0.80219857288372,0.422704600968159,0.657365315143677,0.955678101219767,39
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646",-38.02282374845,9.4214487196639,29.9365870203886,-4.03577251013328,0.000347084707972184,0.0540224439619181,178.584600620881,193.556655436048,0.523055521591208,0.46641316811544,0.106153956752858,1.80510563477423,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia",-4164.55235694579,1086.54352282359,29.5363607412871,-3.83284449215933,0.000614703557793112,0.0540224439619181,170.160973422752,185.133028237919,0.520562843671255,0.448762915976929,0.130252353797229,1.7928239810373,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis",-4164.55235694579,1086.54352282359,29.5363607412871,-3.83284449215933,0.000614703557793112,0.0540224439619181,170.160973422752,185.133028237919,0.520562843671255,0.448762915976929,0.130252353797229,1.7928239810373,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_1706",-92.6760719852055,24.1794500597957,29.5363607397054,-3.83284449216247,0.000614703557827957,0.0540224439619181,177.771480933524,192.74353574869,0.520562843666252,0.44876291597747,0.130252353787299,1.79282398105404,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138",-368.324124784574,96.594768833007,29.1505640760956,-3.81308562807715,0.000658810292218514,0.0540224439619181,175.043659900923,190.01571471609,0.541543603971721,0.446003535935758,0.172456097165422,1.72226769251772,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Pseudomonas_phage_phi297",-96.823105354348,19.9484453475229,9.33256660546421,-4.85366672277402,0.00081431927689097,0.0584274081169271,176.170442034417,191.142496849584,0.857900668647448,0.270245749346083,0.805277829865027,0.684786959043806,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL286",-64.6050216791531,17.8781861874497,31.0836619299432,-3.6136228251446,0.00105236668640204,0.0647880993328136,179.397155924048,194.369210739215,0.558874561655678,0.424094005008489,0.2340322167495,1.64449518173117,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5",-4.28884593769348,1.24796041294989,31.9999999997967,-3.43668428356283,0.00165197965601084,0.0647880993328136,186.004481555963,200.97653637113,NA,0.419062101044357,NA,2.10089315219709,39
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella",-176.629863313228,43.0445910342233,9.90392643530336,-4.10341599419066,0.00217648121846451,0.0647880993328136,177.519080745836,192.491135561003,0.82594256733146,0.265251280873835,0.763106177475823,0.790055147100315,39
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella.s__Absiella_dolichum",-176.629863313228,43.0445910342233,9.90392643530336,-4.10341599419066,0.00217648121846451,0.0647880993328136,177.519080745836,192.491135561003,0.82594256733146,0.265251280873835,0.763106177475823,0.790055147100315,39
"k__Bacteria.p__Candidatus_Melainabacteria",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372,0.0647880993328136,176.629889332639,191.601944147806,0.8853096349962,0.173995769669541,0.861150390285634,0.645007097261268,39
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416,0.0647880993328136,182.88341040456,197.855465219727,0.885309634986621,0.173995769673926,0.8611503902733,0.645007097277291,39
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416,0.0647880993328136,182.88341040456,197.855465219727,0.885309634986621,0.173995769673926,0.8611503902733,0.645007097277291,39
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter.s__Oxalobacter_formigenes",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416,0.0647880993328136,182.88341040456,197.855465219727,0.885309634986621,0.173995769673926,0.8611503902733,0.645007097277291,39
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_144",12.9922071487513,3.12968715862954,8.96524772881802,4.15127982134817,0.00250052337497331,0.0652409280561219,186.756850432891,201.728905248058,0.883552116824898,0.174931784745316,0.858862720654975,0.650432791595599,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia",-0.349143766168518,0.0970366463225434,14.2538935892788,-3.59806093264999,0.00283510627905435,0.0678789813994913,191.70600403017,206.678058845337,0.804138532098051,0.274142749898016,0.730165307469987,0.874435505674235,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361,0.0678789813994913,181.721914105157,196.693968920324,0.8570484938777,0.269138637019551,0.804406809056995,0.754996126756256,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361,0.0678789813994913,181.721914105157,196.693968920324,0.8570484938777,0.269138637019551,0.804406809056995,0.754996126756256,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361,0.0678789813994913,181.721914105157,196.693968920324,0.8570484938777,0.269138637019551,0.804406809056995,0.754996126756256,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",-16.4727868248014,4.70685683919175,14.5545816581883,-3.49974247944837,0.00335691904196443,0.0713656122254661,183.249337107982,198.221391923149,0.754139226515839,0.320920003609744,0.637950204996366,1.01787136840422,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",-1.74048386329926,0.557341860736363,31.7095843344472,-3.12282996471811,0.00380854577522187,0.0780751883920484,189.126001513872,204.098056329039,0.422449373228229,0.391534459385186,0.0508079945033634,2.04862693660454,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482,0.0979153518427521,192.568964535436,207.541019350602,0.77283865622695,0.271862981580395,0.688023904805588,0.95997315788466,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482,0.0979153518427521,192.568964535436,207.541019350602,0.77283865622695,0.271862981580395,0.688023904805588,0.95997315788466,39
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482,0.0979153518427521,192.568964535436,207.541019350602,0.77283865622695,0.271862981580395,0.688023904805588,0.95997315788466,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528",-19.8451660270724,5.6816836405601,10.1834739292795,-3.49283192844508,0.00564016979062507,0.0979153518427521,183.915083414833,198.88713823,0.790320984580342,0.253587163719951,0.719084392405884,0.896216999135086,39
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL309",-22.8643922853505,7.7148273056534,31.9991866363433,-2.96369463365636,0.00569792412721816,0.0979153518427521,184.406358756487,199.378413571654,0.498131392036746,0.368040222564508,0.205853559225163,1.77823303091429,39
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_comes",-2.1689314122107,0.683977967058264,16.3545948558144,-3.17105450273363,0.00579986404643479,0.0979153518427521,188.350896811224,203.322951626391,0.704258693811507,0.315887753432866,0.567700611014466,1.15286181480405,39
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae",0.20819106256334,0.0700674011012516,26.4346685554528,2.97129705528098,0.00624462182375818,0.0995670257454777,193.608124729219,208.580179544386,0.582812111657203,0.345319044043369,0.362761533618776,1.50408171043372,39
