#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	FF05466751	FF05466747	FF05466738	FF05466735	FF05466734	FF05466731	FF05466627	FF05466624	FF05466619	FF05466617	FF05466614	FF05466611	FF05466606	FF05466597	FF05466594	FF05466588	FF05466584	FF05466582	FF05466581	FF05466580	FF05466568	FF05466567	FF05466564	FF05466562	FF05466560	FF05466551	FF05466537	FF05466387	FF05466384	FF05466382	FF05466380	FF05466375	FF05466346	FF05466332	FF05466328	FF05466314	FF05466313	FF05466309	FF05466308	FF05466307	FF05466305	FF05466302	FF05466297	FF05466293	FF05466292	FF05466286	FF05466285	FF05466275	FF05466271	FF05466264	FF05466260	FF05466258	FF05466254	FF05466196	FF05466194	FF05466177	FF05466170	FF05466158	FF05466156	FF05466151	FF05466150	FF05466149	FF05466147	FF05466141	FF05466131	FF05466129	FF05466127	FF05466119	FF05466111	FF05466095	FF05466092	FF05466090	FF05466080	FF05466079	FF05466077	FF05466072	FF05466058	FF05466001	FF05466000	FF05465999	FF05465996	FF05465995	FF05465989	FF05465981	FF05465968	FF05465966	FF05465964	FF05465961	FF05465958	FF05464556	FF05464542	FF05464532	FF05464521	FF05464475	FF05464443	FF05464407	FF05464394	FF05464387	FF05464343	FF05464304	FF05464242	FF05464228	FF05464197	FF05464166	FF05464165	FF05464144	FF05464140	FF05464119
k__Archaea	2157	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	1.18442	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.91299	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	1.18442	0	0	0.41369	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.41369	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	1.18442	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.91299	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	1.18442	0	0	0.41369	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.41369	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	1.18442	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.91299	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	1.18442	0	0	0.41369	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.41369	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	1.18442	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.91299	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	1.18442	0	0	0.41369	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.41369	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	1.18442	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.91299	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	1.18442	0	0	0.41369	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.41369	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	0.87322	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.72181	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	0.87322	0	0	0.29466	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.29466	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	1.71287	0.77566	0.80084	0.14014	3.65986	0	0	0	0	0.76944	0	0.14014	0	0.77566	0.14014	0.87322	0.80084	0.80084	0.91979	0	5.12405	0	0	1.5322	1.51973	4.412	0.60005	0	1.87454	0	2.55761	0	0	0	0.72181	1.87454	0.76176	0	0	0.10298	0	0	0.14483	0.76176	0	0.80084	0.91979	0.87322	0	0	0.29466	0	1.91822	0	1.5322	0	0	1.5322	0	0.76944	0.00298	0	0.10298	0	1.25503	0	1.001	0.76944	1.52578	0.51319	0.60005	3.0408	1.46817	1.46817	0	0	0	0	1.51973	0.10298	0	0	2.66247	0.8232	0.38098	0	0	0.17482	3.65986	0.29466	0	0	0.34899	0	0.71532	0	0	0	1.89488	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19118	0	0	0	0	0	0	0	0	0	0	0	0	0.3112	0	0	0.11903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19118	0	0	0	0	0	0	0	0	0	0	0	0	0.3112	0	0	0.11903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	99.80306	99.19034	98.27798	99.02509	98.62802	99.36055	96.10525	99.9523	99.85591	99.0613	100.0	99.15232	100.0	99.36055	99.9523	99.02509	99.36055	98.58464	98.62802	98.62802	98.4103	99.64498	94.36112	99.32232	99.60829	98.4678	98.24411	95.47153	99.25062	99.78894	97.13155	99.60829	96.69641	99.41978	99.64498	100.0	99.01058	97.13155	98.99922	99.83301	57.07219	99.70946	99.97268	99.95596	88.45639	98.99922	99.85591	98.62802	98.4103	98.58464	99.88764	99.59643	51.74464	99.97268	97.8372	99.95643	98.4678	99.91547	99.92775	98.4678	99.56481	99.15232	99.36813	99.59643	99.70946	99.63109	98.72107	98.45572	98.66018	99.15232	98.37912	99.22121	99.25062	96.67152	97.93066	97.93066	99.97268	99.65916	99.6841	99.51101	98.24411	99.70946	99.73889	99.47037	96.9476	98.96126	98.67718	99.97507	99.78894	98.64838	96.10525	51.74464	99.81671	98.54934	99.02842	98.94375	96.43571	99.88764	99.6686	99.96826	97.81361	99.6841	100.0	57.07219	99.6686	98.94375	99.81671	98.94375
