"term","estimate","std.error","statistic","p.value"
"k__Archaea",-0.343487987549666,0.428588119667889,-0.801440758124219,0.422876527423911
"k__Archaea.p__Euryarchaeota",-0.343487987549666,0.428588119667889,-0.801440758124219,0.422876527423911
"k__Archaea.p__Euryarchaeota.c__Methanobacteria",-0.343487987549666,0.428588119667889,-0.801440758124219,0.422876527423911
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales",-0.343487987549666,0.428588119667889,-0.801440758124219,0.422876527423911
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae",-0.343487987549666,0.428588119667889,-0.801440758124219,0.422876527423911
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter",-0.352868803402863,0.433526710150609,-0.813949394906427,0.415673941908017
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_smithii",-0.352868803402863,0.433526710150609,-0.813949394906427,0.415673941908017
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera",1.10437082075253,6.94047627929628,0.159120322051516,0.873574077520748
"k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera.s__Methanosphaera_stadtmanae",1.10437082075253,6.94047627929628,0.159120322051516,0.873574077520748
"k__Bacteria",0.152160162650352,0.32392555609888,0.469738061062105,0.638542171527676
"k__Bacteria.p__Actinobacteria",-0.0335456358269048,0.037413832002376,-0.896610532296571,0.369926775979586
"k__Bacteria.p__Actinobacteria.c__Actinobacteria",-0.115342614189734,0.119825703198578,-0.962586582935263,0.335755033388702
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales",-17.8637985437226,18.0896143761985,-0.987516824417604,0.323389339179923
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae",-17.8637985437226,18.0896143761985,-0.987516824417604,0.323389339179923
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",-17.8637985437226,18.0896143761985,-0.987516824417604,0.323389339179923
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_graevenitzii",915.184743461258,137904.870751678,0.00663634821941284,0.994704999081941
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris",-23.3488468967412,20.6585350632689,-1.13022761900749,0.258380324742195
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247",1285.24733951776,193667.85726851,0.0066363482182582,0.994704999082862
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_ICM47",7623.8585502237,1372066.79720048,0.0055564776917415,0.995566595050478
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_viscosus",-1147.69174611288,158595.158818829,-0.00723661273560028,0.994226068821213
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales",-0.114865445939642,0.120451499158826,-0.953624045709726,0.34027397963589
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae",-0.114865445939642,0.120451499158826,-0.953624045709726,0.34027397963589
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium",-0.114917801059703,0.120449306611766,-0.954076069778537,0.340045138253955
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_adolescentis",57.5892768891699,9345.65372118634,0.00616214537872473,0.995083350456778
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_animalis",-0.0344420489514649,0.291758941975995,-0.118049677306201,0.906028296235792
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_bifidum",-0.144946211358224,0.154159331940613,-0.940236374493771,0.347096327602615
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_breve",-10.9433860842092,21.5431539719036,-0.507975113508516,0.611470796152997
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium",11.8696485908445,14.1812818790298,0.836994052589592,0.402595911085262
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum",-0.279926861901753,0.318073875931735,-0.880068698134238,0.378822094979367
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum",-2.35086607262676,1.78543474392437,-1.31669111997876,0.187942181383915
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum",919.009684195128,159767.372175141,0.00575217374914128,0.995410454683951
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia",27937.2184849576,4209727.63389179,0.00663634821883485,0.994704999082402
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia.s__Parascardovia_denticolens",27937.2184849576,4209727.63389179,0.00663634821883485,0.994704999082402
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia",1298.87557395072,195721.431612256,0.00663634821823666,0.994704999082879
