"","term","estimate","std.error","statistic","p.value","coef.type"
"1","k__Archaea",-0.0568503734133568,0.207618268223222,-0.273821633808418,0.784221697418424,"location"
"2","k__Archaea.p__Euryarchaeota",-0.0568503734133568,0.207618268223222,-0.273821633808418,0.784221697418424,"location"
"3","k__Archaea.p__Euryarchaeota.c__Methanobacteria",-0.0568503734133568,0.207618268223222,-0.273821633808418,0.784221697418424,"location"
"4","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales",-0.0568503734133568,0.207618268223222,-0.273821633808418,0.784221697418424,"location"
"5","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae",-0.0568503734133568,0.207618268223222,-0.273821633808418,0.784221697418424,"location"
"6","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter",-0.0477793704695751,0.207775141719348,-0.229957106871393,0.818125100293542,"location"
"7","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_smithii",-0.0477793704695751,0.207775141719348,-0.229957106871393,0.818125100293542,"location"
"8","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera",-3.44285345458995,4.19049559977753,-0.821586223541848,0.411312432620113,"location"
"9","k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera.s__Methanosphaera_stadtmanae",-3.44285345458995,4.19049559977753,-0.821586223541848,0.411312432620113,"location"
"10","k__Bacteria",0.0274905447953915,0.0264425941026669,1.03963116056828,0.298511294119081,"location"
"11","k__Bacteria.p__Actinobacteria",0.00035495668499365,0.0168967584231787,0.0210073835527368,0.983239765753093,"location"
"12","k__Bacteria.p__Actinobacteria.c__Actinobacteria",-0.0055512653151518,0.024243353382017,-0.228980918096486,0.818883747291227,"location"
"13","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales",-4.97726350011108,8.74218366508097,-0.569338701952905,0.569126307096045,"location"
"14","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae",-4.97726350011108,8.74218366508097,-0.569338701952905,0.569126307096045,"location"
"15","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",-4.97726350011108,8.74218366508097,-0.569338701952905,0.569126307096045,"location"
"16","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_graevenitzii",-25.8116290278056,85.0327648190902,-0.303549215208051,0.761471347214913,"location"
"17","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_naeslundii",-34.0280761901262,32.7057713403143,-1.04043032148831,0.298140020612442,"location"
"18","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_odontolyticus",-93.613981649042,137.481930063212,-0.680918442198182,0.495923097978014,"location"
"19","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris",1.59045124220484,9.70985312098441,0.163797662270261,0.869890432062422,"location"
"20","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247",104.042056106337,136.525077559677,0.762072858452393,0.446016520839178,"location"
"21","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_ICM47",-63.0886673682367,54.1349482348351,-1.16539628142916,0.243858621829706,"location"
"22","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_turicensis",-7544.16819755064,NA,NA,NA,"location"
