"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","padj"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Clostridium_leptum",-7.86919877309559,0.866906208015779,24.9709078835328,-9.07733581826232,2.20169680570791e-09,1.1977230623051e-06
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646",-31.6736013254096,4.7363369495733,18.6193810704031,-6.68736233562586,2.38900340031665e-06,0.000649808924886128
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor.s__Flavonifractor_sp_An10",-15.4523100465829,2.71281375113657,24.9999999995374,-5.69604531092815,6.23184830856521e-06,0.000923173005523035
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",-1.71869720454276,0.296209309547407,22.3795437236212,-5.80230650808662,7.25007656016829e-06,0.000923173005523035
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5",-3.83353511115839,0.634672828783578,18.8727727575349,-6.04017524825475,8.48504600664554e-06,0.000923173005523035
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia",-3323.68827624411,604.471279064835,19.0616175559432,-5.49850487749578,2.61376664012413e-05,0.00157987672580944
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis",-3323.68827624411,604.471279064835,19.0616175559432,-5.49850487749578,2.61376664012413e-05,0.00157987672580944
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_1706",-73.9638615494348,13.4516315249339,19.0616175545421,-5.49850487744446,2.61376664109109e-05,0.00157987672580944
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138",-296.542232155614,53.931430227486,19.0616175522353,-5.49850487748575,2.61376664196414e-05,0.00157987672580944
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL286",-48.8994082589129,10.200685027901,24.9999999997654,-4.79373768773009,6.35890511441011e-05,0.0034592443822391
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_sp_CAG_38",-1.18089449440267,0.149566166498024,5.3820129205448,-7.89546541208086,0.000371462235818991,0.0183704960259574
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified",-0.225893201827054,0.0585086351362423,24.9999999994388,-3.8608523562555,0.000707659717837967,0.030825010077492
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei",0.184087363743625,0.026760046148925,5.31740727226216,6.87918708058806,0.000773325149038287,0.030825010077492
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bromii",-0.385724205616862,0.101077781251137,24.9999999994381,-3.81611270887014,0.000793290700523692,0.030825010077492
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",-0.117485126751317,0.0312985183212836,24.9999999993205,-3.75369611894456,0.000929994825488154,0.0337278123377037
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",-4.39409005906503,0.740878001613754,5.29768369981986,-5.93092256686524,0.00159290808027341,0.0496505256851783
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella",-37.7502456829284,6.36549560711304,5.21341401288758,-5.93044878402631,0.0016846375145392,0.0496505256851783
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella.s__Absiella_dolichum",-37.7502456829284,6.36549560711304,5.21341401288758,-5.93044878402631,0.0016846375145392,0.0496505256851783
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio",-0.637602436985744,0.111362805499443,5.34343997150996,-5.72545235481638,0.00182538697371979,0.0496505256851783
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.s__Desulfovibrio_piger",-0.637602436985744,0.111362805499443,5.34343997150996,-5.72545235481638,0.00182538697371979,0.0496505256851783
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_spiroforme",-35.0766842337846,8.01799638248515,8.57055892224825,-4.37474433268735,0.00200590933735239,0.0519626037866525
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus",-0.248402602406932,0.0475796169011992,5.27998120462835,-5.22077768979832,0.00290201076082183,0.0699966161748402
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalitalea",-1.38965638521118,0.278882060252851,5.56580847972861,-4.98295366848349,0.00308808600771354,0.0699966161748402
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalitalea.s__Faecalitalea_cylindroides",-1.38965638521118,0.278882060252851,5.56580847972861,-4.98295366848349,0.00308808600771354,0.0699966161748402
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus.s__Acidaminococcus_intestini",-0.23689120673271,0.0470964461303043,5.27082270078535,-5.02991682381491,0.00345007057500401,0.0750735357120872
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_asparagiforme",-24.5360561965658,7.67183667953949,24.9458226345218,-3.19819845252997,0.0037388749110174,0.0782287673689795
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424",-46.0198464248886,14.4762560580212,22.6153975925491,-3.17898814724193,0.00424220627447973,0.0854726004932212
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Intestinimonas",2.41578575745415,0.516866788623511,5.29723005727921,4.6739040128458,0.00471624521911886,0.0855784505186572
