"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL311",-55.4067374249216,11.2834301091432,30.7365080742162,-4.91045159929023,2.8321410895237e-05
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_spiroforme",-77.2383711341011,19.0562632938267,31.5499850235401,-4.05317506077504,0.000307469859709228
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646",-38.02282374845,9.4214487196639,29.9365870203886,-4.03577251013328,0.000347084707972184
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia",-4164.55235694579,1086.54352282359,29.5363607412871,-3.83284449215933,0.000614703557793112
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia.s__Romboutsia_ilealis",-4164.55235694579,1086.54352282359,29.5363607412871,-3.83284449215933,0.000614703557793112
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_1706",-92.6760719852055,24.1794500597957,29.5363607397054,-3.83284449216247,0.000614703557827957
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An138",-368.324124784574,96.594768833007,29.1505640760956,-3.81308562807715,0.000658810292218514
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Pseudomonas_phage_phi297",-96.823105354348,19.9484453475229,9.33256660546421,-4.85366672277402,0.00081431927689097
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL286",-64.6050216791531,17.8781861874497,31.0836619299432,-3.6136228251446,0.00105236668640204
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5",-4.28884593769348,1.24796041294989,31.9999999997967,-3.43668428356283,0.00165197965601084
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella",-176.629863313228,43.0445910342233,9.90392643530336,-4.10341599419066,0.00217648121846451
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella.s__Absiella_dolichum",-176.629863313228,43.0445910342233,9.90392643530336,-4.10341599419066,0.00217648121846451
"k__Bacteria.p__Candidatus_Melainabacteria",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales.f__Candidatus_Gastranaerophilales_unclassified.g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium",2023.65684769487,482.944925939624,8.94810881150886,4.19024352260791,0.0023702963167372
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter.s__Oxalobacter_formigenes",88.7568792837977,21.1817949979846,8.94810881201728,4.19024352243247,0.00237029631705416
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_144",12.9922071487513,3.12968715862954,8.96524772881802,4.15127982134817,0.00250052337497331
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia",-0.349143766168518,0.0970366463225434,14.2538935892788,-3.59806093264999,0.00283510627905435
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4",103.956712724251,27.8121240917097,11.4264963169851,3.73781996590609,0.00307465769405361
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",-16.4727868248014,4.70685683919175,14.5545816581883,-3.49974247944837,0.00335691904196443
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",-1.74048386329926,0.557341860736363,31.7095843344472,-3.12282996471811,0.00380854577522187
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",-0.336504690869722,0.102623677643374,14.1026570854175,-3.27901609645198,0.00544063568068482
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__Anaerotruncus_sp_CAG_528",-19.8451660270724,5.6816836405601,10.1834739292795,-3.49283192844508,0.00564016979062507
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL309",-22.8643922853505,7.7148273056534,31.9991866363433,-2.96369463365636,0.00569792412721816
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus_comes",-2.1689314122107,0.683977967058264,16.3545948558144,-3.17105450273363,0.00579986404643479
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae",0.20819106256334,0.0700674011012516,26.4346685554528,2.97129705528098,0.00624462182375818
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides",0.20819106256334,0.0700674011012516,26.4346685554528,2.97129705528098,0.00624462182375818
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bromii",-0.478339422553211,0.16419107224439,31.9999999991062,-2.91330957289339,0.00647274693925326
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercorirosoris",96.327566932208,28.676480211169,9.77157376705145,3.35911402734462,0.00748802050088479
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_torques",-0.830206999737515,0.257891260272631,11.7769449123706,-3.21921339583147,0.0075297751068861
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium",0.708285759996229,0.249772436639919,28.0524439579917,2.83572426775546,0.00839020968591308
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus",-2.05563779479633,0.693485898750425,16.635047966778,-2.96420994067844,0.00884727122691264
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_sp_CAG_38",-2.52976124763895,0.917678605967603,26.2415431538685,-2.75669633266819,0.0104843446628504
