"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","padj","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified",20.5973179793286,11.7357294463901,26.5868373141126,1.75509482162306,0.0907617093410463,0.999999999973206,-32.2047416753986,-21.2663750355068,0.999999999600688,0.258935435552595,0.999999999461164,1.91401601284386e-10,29
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified",20.5973179793286,11.7357294463901,26.5868373141126,1.75509482162306,0.0907617093410463,0.999999999973206,-32.2047416753986,-21.2663750355068,0.999999999600688,0.258935435552595,0.999999999461164,1.91401601284386e-10,29
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Caudovirales_unclassified.g__Caudovirales_unclassified.s__Enterobacteria_phage_P4",20.5973179793286,11.7357294463901,26.5868373141126,1.75509482162306,0.0907617093410463,0.999999999973206,-32.2047416753986,-21.2663750355068,0.999999999600688,0.258935435552595,0.999999999461164,1.91401601284386e-10,29
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_unclassified.g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006",23.2539909390262,11.0288711612648,2.01233602257214,2.10846519095246,0.168729496052754,0.999999999973206,-36.133031380441,-25.1946647405492,0.999999999814562,0.302121207503574,0.999999999734284,9.29396129329407e-11,29
"k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified.f__Firmicutes_unclassified.g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_646",40.4696629863193,19.1937460659051,1.90449407101906,2.10848173396478,0.17586045176839,0.999999999973206,-39.6975004230746,-28.7591337831829,0.999999999899654,0.30212575068725,0.999999999856211,5.02934236654698e-11,29
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Myoviridae.g__Felixo1virus.s__Escherichia_virus_wV8",0.0160166301940311,0.0185195292564741,194.154640580023,0.864850827049608,0.388187967192458,0.999999999973206,-16.2574509196436,-5.3190842797518,0.999999999471817,0.196594456344819,0.99999999934257,2.34844975926424e-10,29
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_quasipneumoniae",0.19258361362106,0.222678366858798,47.5960788006661,0.864851024092427,0.39145868756472,0.999999999973206,-22.0107952108099,-11.0724285709181,0.999999999565342,0.196593670754448,0.999999999458981,1.93260777411312e-10,29
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Sfi21dt1virus.s__Streptococcus_virus_DT1",25.4939946527294,29.4778814581467,2.0261927703955,0.864851657977062,0.477264953459436,0.999999999973206,-35.1587166860893,-24.2203500461975,0.99999999981313,0.19659538101659,0.999999999767403,8.3087559548472e-11,29
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_sakei",42.238679346426,48.8392216244911,2.01951917501644,0.864851607816058,0.477522000034832,0.999999999973206,-36.3955191196844,-25.4571524797926,0.999999999823441,0.196594125962711,0.999999999780236,7.85031997382013e-11,29
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL311",3.46440727217394,4.00577977784922,1.73701902243697,0.864852154711822,0.489900038162454,0.999999999973206,-30.5618238417214,-19.6234572018296,0.999999999782612,0.196593450816322,0.999999999729417,9.66567641223127e-11,29
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Anaeroglobus",-0.232691781235203,0.343054627382443,3.27141207596645,-0.678293667135977,0.542486018363974,0.999999999973206,-24.9894602329692,-14.0510935930774,0.999999999757939,0.183314934998719,0.999999999703606,1.0821066404275e-10,29
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Anaeroglobus.s__Anaeroglobus_geminatus",-0.232691781235203,0.343054627382443,3.27141207596645,-0.678293667135977,0.542486018363974,0.999999999973206,-24.9894602329692,-14.0510935930774,0.999999999757939,0.183314934998719,0.999999999703606,1.0821066404275e-10,29
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_sp_494a",0.0123976185917174,0.157356196229207,134.730473828281,0.0787869743219952,0.937318960841357,0.999999999973206,-20.0818038691218,-9.14343722923002,0.999999999497671,0.175057593483995,0.999999999391074,2.21133680415939e-10,29
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae",-19.3707573043327,10.8770644719053,0.00295170201301938,-1.78088098625929,0.987731962806608,0.999999999973206,-73.0597111682906,-62.1213445283988,0.999999999999985,0.22827088727374,0.999999999999981,6.52408125264232e-15,29
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Comamonas",-19.3707573043327,10.8770644719053,0.00295170201301938,-1.78088098625929,0.987731962806608,0.999999999973206,-73.0597111682906,-62.1213445283988,0.999999999999985,0.22827088727374,0.999999999999981,6.52408125264232e-15,29
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Comamonas.s__Comamonas_kerstersii",-19.3707573043327,10.8770644719053,0.00295170201301938,-1.78088098625929,0.987731962806608,0.999999999973206,-73.0597111682906,-62.1213445283988,0.999999999999985,0.22827088727374,0.999999999999981,6.52408125264232e-15,29
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Robinsoniella",-14.4903874637261,9.093705004802,0.00293005964844704,-1.59345255383525,0.988132444933736,0.999999999973206,-72.0994350669515,-61.1610684270597,0.999999999999986,0.219665891667949,0.999999999999982,6.52981178645863e-15,29
