"Gene","Estimate","Std. Error","df","t value","Pr(>|t|)","score","padj"
"PTPRC_2",-0.319863550124693,0.137412989650284,18.4043373807312,-2.32775337279791,0.0315114587892408,"sppb_score",0.977133978113962
"HPRT1",-0.209525866428256,0.119244800687486,16.132697550793,-1.75710693648923,0.0978581863465462,"sppb_score",0.977133978113962
"PDCD1LG2",0.195970728555087,0.120484939474567,16.5010860255526,1.62651638793788,0.122782923276726,"sppb_score",0.977133978113962
"GZMB",-0.169442928630496,0.100633833012566,10.0822533774847,-1.68375707809259,0.122886425038293,"sppb_score",0.977133978113962
"RORC",0.196398890068826,0.123531610513778,12.5602211930269,1.58986747806482,0.136707825002549,"sppb_score",0.977133978113962
"CDKN1B",0.185301308766572,0.123697288001902,13.6522625222155,1.49802240420762,0.156889138098204,"sppb_score",0.977133978113962
"UBC",0.157629462355804,0.114449931795914,14.0398402160465,1.37727877930838,0.189988149194842,"sppb_score",0.977133978113962
"IL.21",-0.163481843204322,0.122651716669504,14.5094212572599,-1.33289486395726,0.203119203372777,"sppb_score",0.977133978113962
"CD4",0.173321238238924,0.1306356899581,15.574003384914,1.32675257653185,0.203716501096668,"sppb_score",0.977133978113962
"GRAIL",-0.1821964443005,0.141407574463057,16.6540764742775,-1.28844897447908,0.215202715693638,"sppb_score",0.977133978113962
"NEG_C",-0.125629608876801,0.103588867429783,11.2607135994133,-1.21277133338636,0.250046301050994,"sppb_score",0.977133978113962
"ADORA2A",0.115871349542146,0.0959755342538304,10.1062733339888,1.20730090687171,0.254812679407073,"sppb_score",0.977133978113962
"IL.4",0.126405565986945,0.109196689112501,12.0892848598779,1.15759522577387,0.269388879354921,"sppb_score",0.977133978113962
"ZBTB7B",0.125771429792372,0.109448327823599,11.4343987151017,1.14913980225519,0.273968283721353,"sppb_score",0.977133978113962
"VTCN1",-0.172342813184098,0.159570801189004,25.9868731270626,-1.0800397810873,0.290046735401264,"sppb_score",0.977133978113962
"POS_E",0.107567199916915,0.0983635681661373,10.4185401984737,1.09356748562875,0.298784070155449,"sppb_score",0.977133978113962
"CXCR3",0.11431742018429,0.108935587424912,11.2530974921296,1.04940380720935,0.316007621913328,"sppb_score",0.977133978113962
"IL6",-0.0926886567819742,0.0982662979727315,10.5241520331801,-0.943239530685229,0.366708065688024,"sppb_score",0.977133978113962
"NEG_E",-0.111330538323674,0.119312889627215,13.5274862895596,-0.933097326462536,0.367126339659011,"sppb_score",0.977133978113962
"CDKN2A..p16.",0.115522202594305,0.123875276521685,12.7696282584592,0.932568675833244,0.368340801506502,"sppb_score",0.977133978113962
"CEACAM1",0.108271943850017,0.116867367495454,12.8238632650519,0.926451465198176,0.371319173575172,"sppb_score",0.977133978113962
"TNF",0.112832565937213,0.122480371661303,11.5968065157457,0.921229780794844,0.375697433551605,"sppb_score",0.977133978113962
"EOMES",0.138186553198974,0.155901386176763,20.4713041104384,0.88637154927087,0.385711840452457,"sppb_score",0.977133978113962
"SPN",0.103371114857492,0.1214613764135,14.3159230278004,0.851061612422192,0.408745424214594,"sppb_score",0.994788689598444
"IL.2",-0.133841679818095,0.161877845463896,27.8399125597828,-0.826806654329647,0.41537719219935,"sppb_score",0.994788689598444
"CD27",0.0747692373772683,0.0994835571213172,11.0367580108284,0.751573823260958,0.468031721951466,"sppb_score",0.999145803413394
"CDKN2A..ARF.",0.0866430010654741,0.121716689548823,13.0628215999436,0.711841583817641,0.489081569125606,"sppb_score",0.999145803413394
"POS_F",-0.0859807429167253,0.121957469684001,14.711805692833,-0.705005959368511,0.491818273507821,"sppb_score",0.999145803413394
"NEG_F",0.0636038945938888,0.0908651421032127,9.80094108845289,0.699981237267442,0.500215932063192,"sppb_score",0.999145803413394
"GATA3",0.0957844948395011,0.139024669697437,14.9325278515977,0.688974806039529,0.50140485468125,"sppb_score",0.999145803413394
"FOXO1",0.0676379452611001,0.101698903927116,11.2079955608593,0.665080375984917,0.519450150386349,"sppb_score",0.999145803413394
"FOXP3",0.0761238219467986,0.114721888319625,11.4683169489868,0.663550984575069,0.520093794870303,"sppb_score",0.999145803413394
"GUSB",0.0618730216707128,0.101276017146263,10.3403009398742,0.610934586629286,0.554434310869873,"sppb_score",0.999145803413394
"CD28",0.0661512154754299,0.109205074758806,11.7067933629524,0.605752210888862,0.556241626805106,"sppb_score",0.999145803413394
"PTPRC_1",0.0813582486262489,0.135390004822584,15.0514505980003,0.60091768763035,0.556836652821288,"sppb_score",0.999145803413394
"CD200R1",0.07125271562571,0.11958988258147,12.771204921024,0.595808893592397,0.561713946556438,"sppb_score",0.999145803413394
"PGK1",-0.0690021313346205,0.119071911960576,13.170269560674,-0.579499650240492,0.572032000081814,"sppb_score",0.999145803413394
"PVR",0.0680490475657883,0.117775139896895,12.0486564515833,0.577787872936183,0.57404699898423,"sppb_score",0.999145803413394
"CD8A",-0.0899789748475269,0.164769342495797,22.9897665764285,-0.546090513469288,0.590264362892225,"sppb_score",0.999145803413394
"CD96",-0.0621242929757491,0.114289655577256,10.7550024472804,-0.543568817859942,0.597824594995298,"sppb_score",0.999145803413394
"IL.17A",0.0722630245695862,0.134208199174947,14.9930176054714,0.538439715411036,0.598177260739224,"sppb_score",0.999145803413394
"RUNX3",-0.0789837504804769,0.149156448415217,17.5276890288921,-0.529536277644562,0.603076730449212,"sppb_score",0.999145803413394
