"","microbe","p.value","adjusted.p.value"
"1","Anaerotruncus_colihominis",0.000320710257755018,0.155544475011184
"2","Butyricimonas_synergistica",0.012370976799321,1
"3","Eubacterium_sp_CAG_38",0.0146628653755646,1
"4","Anaerotruncus",0.0147765097614174,1
"5","Streptococcus_thermophilus",0.019969640484431,1
"6","Corynebacteriaceae",0.0241991857122131,1
"7","Corynebacteriales",0.0241991857122131,1
"8","Corynebacterium",0.0241991857122131,1
"9","Pseudomonas_phage_phi297",0.0316210060746096,1
"10","Roseburia_hominis",0.0443372645035157,1
"11","Collinsella_stercoris",0.0481916983774608,1
"12","Lachnoclostridium",0.048751272101779,1
"13","Bacteroides_stercorirosoris",0.0499704207201854,1
"14","Klebsiella_michiganensis",0.0499704207201854,1
"15","Bifidobacterium_pullorum",0.0538769506211713,1
"16","Coprobacter_secundus",0.0548898784126372,1
"17","Firmicutes_bacterium_CAG_110",0.0548898784126372,1
"18","Bifidobacterium_bifidum",0.0608947078503271,1
"19","Bacteroides_stercoris",0.0615521175900783,1
"20","Lactococcus_phage_bIL286",0.0626532948243378,1
"21","Absiella",0.0627224323412084,1
"22","Absiella_dolichum",0.0627224323412084,1
"23","Dorea_formicigenerans",0.0669622187504665,1
"24","Coprococcus_comes",0.0696197028773771,1
"25","Sellimonas",0.0706162107356466,1
"26","Sellimonas_intestinalis",0.0706162107356466,1
"27","Roseburia_sp_CAG_471",0.0722808103626444,1
"28","Eubacterium_siraeum",0.0743724472571698,1
"29","Blautia_hansenii",0.0751171045886736,1
"30","Peptostreptococcaceae",0.078023469243947,1
"31","Harryflintia",0.0811599830931459,1
"32","Harryflintia_acetispora",0.0811599830931459,1
"33","Lactobacillus_paragasseri",0.0811599830931459,1
"34","Streptococcus_virus_phiAbc2",0.0811599830931459,1
"35","Bacteroides_cellulosilyticus",0.082235705535976,1
"36","Eubacterium_dolichum_CAG_375",0.083531713968878,1
"37","Lactobacillus_fermentum",0.0853773202327232,1
"38","Bilophila",0.088093218549866,1
"39","Bilophila_wadsworthia",0.088093218549866,1
"40","Alistipes_onderdonkii",0.0960999071279003,1
