"term","estimate","std.error","statistic","p.value"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae",3.29526437780192,0.995344091864694,3.31067859319737,0.00305074342412284
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus",3.29526437780192,0.995344091864694,3.31067859319737,0.00305074342412284
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius",3.5313668100194,1.36053265300121,2.59557666788044,0.0161691526379534
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius.t__Streptococcus_salivarius_unclassified",3.5313668100194,1.36053265300121,2.59557666788044,0.0161691526379534
"k__Bacteria.p__Firmicutes.c__Clostridia",-0.0905703433980148,0.0378998835780556,-2.38972616397313,0.0254456353751883
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales",-0.0905703433980148,0.0378998835780556,-2.38972616397313,0.0254456353751883
"k__Bacteria.p__Firmicutes",-0.0905551154132831,0.0382889646001589,-2.36504476835363,0.0268404307094314
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii",-2.05400404792775,0.903766055395066,-2.27271652400119,0.0327040492292819
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes_finegoldii.t__GCF_000265365",-2.05400404792775,0.903766055395066,-2.27271652400119,0.0327040492292819
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae",-0.14103194781833,0.0649620336571368,-2.17099034433993,0.0405001396827679
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum",-0.257191749644965,0.119688944270109,-2.14883464143978,0.0424067269428461
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Subdoligranulum.s__Subdoligranulum_unclassified",-0.257191749644965,0.119688944270109,-2.14883464143978,0.0424067269428461
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus",-0.22083446214926,0.102967814946684,-2.14469407031319,0.0427718876576844
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__Dorea_longicatena",-4.09736579448374,1.92486032738103,-2.12865616076083,0.0442131672378661
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__Dorea_longicatena.t__GCF_000154065",-4.09736579448374,1.92486032738103,-2.12865616076083,0.0442131672378661
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae",-4.97259949416121,2.3960605485706,-2.07532297008424,0.0493252575943808
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Peptostreptococcaceae_noname",-4.97259949416121,2.3960605485706,-2.07532297008424,0.0493252575943808
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA",-9.4906809798703,4.64470470194148,-2.04333355700809,0.0526393635542961
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA.t__GCF_000242155",-9.4906809798703,4.64470470194148,-2.04333355700809,0.0526393635542961
