"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs","padj"
"PTPRC_2",-0.319863550124693,0.137412989650284,18.4043373807312,-2.32775337279791,0.0315114587892408,105.215427009844,112.847229632924,0.886361564155334,0.0990938160013408,0.873862075915293,0.217463153556838,34,0.977133978113962
"HPRT1",-0.209525866428256,0.119244800687486,16.132697550793,-1.75710693648923,0.0978581863465462,107.608927546024,115.240730169105,0.894098899687215,0.0440423159219095,0.889219886950421,0.211648326590677,34,0.977133978113962
"PDCD1LG2",0.195970728555087,0.120484939474567,16.5010860255526,1.62651638793788,0.122782923276726,108.030993114074,115.662795737155,0.875666241411777,0.0463855166002349,0.86961842468567,0.229381593338302,34,0.977133978113962
"GZMB",-0.169442928630496,0.100633833012566,10.0822533774847,-1.68375707809259,0.122886425038293,108.57522055424,116.207023177321,0.918604052938896,0.0176677845926221,0.917140102111638,0.18718790360018,34,0.977133978113962
"RORC",0.196398890068826,0.123531610513778,12.5602211930269,1.58986747806482,0.136707825002549,108.453635401469,116.08543802455,0.919977909999628,0.0357209845011193,0.917013552390776,0.188897746990863,34,0.977133978113962
"CDKN1B",0.185301308766572,0.123697288001902,13.6522625222155,1.49802240420762,0.156889138098204,108.497631542719,116.129434165799,0.910411980914791,0.0394406981271753,0.906733484428773,0.198801226513385,34,0.977133978113962
"UBC",0.157629462355804,0.114449931795914,14.0398402160465,1.37727877930838,0.189988149194842,108.820030574061,116.451833197142,0.883881803345669,0.0305224214191102,0.880226011183979,0.222517629889505,34,0.977133978113962
"IL.21",-0.163481843204322,0.122651716669504,14.5094212572599,-1.33289486395726,0.203119203372777,108.832053709211,116.463856332291,0.87368111061993,0.0302718737401709,0.869737830677066,0.231878289608659,34,0.977133978113962
"CD4",0.173321238238924,0.1306356899581,15.574003384914,1.32675257653185,0.203716501096668,108.834223869999,116.46602649308,0.907537920298328,0.0243543795825109,0.905229852144361,0.202106510192851,34,0.977133978113962
"GRAIL",-0.1821964443005,0.141407574463057,16.6540764742775,-1.28844897447908,0.215202715693638,109.16286172898,116.79466435206,0.826990210348242,0.0374789464572475,0.820253500933865,0.273641796562652,34,0.977133978113962
"NEG_C",-0.125629608876801,0.103588867429783,11.2607135994133,-1.21277133338636,0.250046301050994,109.45365221994,117.085454843021,0.893025163924175,0.0149527649324347,0.891401313289827,0.213741050190478,34,0.977133978113962
"ADORA2A",0.115871349542146,0.0959755342538304,10.1062733339888,1.20730090687171,0.254812679407073,109.848599891368,117.480402514449,0.91251468699282,0.0177488772010951,0.910933863065595,0.196764389467469,34,0.977133978113962
"IL.4",0.126405565986945,0.109196689112501,12.0892848598779,1.15759522577387,0.269388879354921,109.472071450478,117.103874073558,0.877555837125924,0.0210021621119661,0.874929077332569,0.228385144766161,34,0.977133978113962
"ZBTB7B",0.125771429792372,0.109448327823599,11.4343987151017,1.14913980225519,0.273968283721353,109.578652586076,117.210455209157,0.903645506852861,0.015695341087329,0.902109075401941,0.205141860332165,34,0.977133978113962
"VTCN1",-0.172342813184098,0.159570801189004,25.9868731270626,-1.0800397810873,0.290046735401264,109.011062598902,116.642865221983,0.859214473829056,0.0294644958654466,0.854940364807689,0.248725202461116,34,0.977133978113962
"POS_E",0.107567199916915,0.0983635681661373,10.4185401984737,1.09356748562875,0.298784070155449,109.810735414103,117.442538037184,0.884356995321043,0.0122191654754517,0.882926454293255,0.221590284268033,34,0.977133978113962
"CXCR3",0.11431742018429,0.108935587424912,11.2530974921296,1.04940380720935,0.316007621913328,109.746680133653,117.378482756733,0.897473534736847,0.0141178382834395,0.896005355158633,0.211044810552756,34,0.977133978113962
"IL6",-0.0926886567819742,0.0982662979727315,10.5241520331801,-0.943239530685229,0.366708065688024,110.13879636176,117.77059898484,0.893280805296388,0.0138250374685174,0.891784725065756,0.215114214913441,34,0.977133978113962
"NEG_E",-0.111330538323674,0.119312889627215,13.5274862895596,-0.933097326462536,0.367126339659011,109.749562821371,117.381365444452,0.883766432741361,0.0138431102673592,0.882134811946453,0.224353729343835,34,0.977133978113962
"CDKN2A..p16.",0.115522202594305,0.123875276521685,12.7696282584592,0.932568675833244,0.368340801506502,109.726031844859,117.35783446794,0.869467156298355,0.0199194618809261,0.866814166158062,0.237132348420247,34,0.977133978113962
"CEACAM1",0.108271943850017,0.116867367495454,12.8238632650519,0.926451465198176,0.371319173575172,109.827736344278,117.459538967359,0.874008022848711,0.0160608291080237,0.871951457083396,0.232858256361682,34,0.977133978113962
"TNF",0.112832565937213,0.122480371661303,11.5968065157457,0.921229780794844,0.375697433551605,109.823782355484,117.455584978565,0.903540390886038,0.0150349819992219,0.902067984800364,0.206937596388474,34,0.977133978113962
"EOMES",0.138186553198974,0.155901386176763,20.4713041104384,0.88637154927087,0.385711840452457,109.384532565487,117.016335188567,0.902372388186953,0.0208230220199364,0.90029625490742,0.210583370452651,34,0.977133978113962
"SPN",0.103371114857492,0.1214613764135,14.3159230278004,0.851061612422192,0.408745424214594,109.862166241494,117.493968864574,0.882575907131388,0.0165913188502941,0.880594817679125,0.226326718083846,34,0.994788689598444
"IL.2",-0.133841679818095,0.161877845463896,27.8399125597828,-0.826806654329647,0.41537719219935,109.329275951082,116.961078574162,0.887983441192843,0.0222325968237856,0.885436394746564,0.225091193462394,34,0.994788689598444
"CD27",0.0747692373772683,0.0994835571213172,11.0367580108284,0.751573823260958,0.468031721951466,110.422506979252,118.054309602332,0.886021365719441,0.00993864868971014,0.884877200660631,0.222350243070088,34,0.999145803413394
"CDKN2A..ARF.",0.0866430010654741,0.121716689548823,13.0628215999436,0.711841583817641,0.489081569125606,110.128050015288,117.759852638369,0.86845013258227,0.0126846333896044,0.866760032440941,0.238654877392737,34,0.999145803413394
"POS_F",-0.0859807429167253,0.121957469684001,14.711805692833,-0.705005959368511,0.491818273507821,110.08345844267,117.715261065751,0.883441244917313,0.0175331869379144,0.881361127385662,0.22659282024406,34,0.999145803413394
"NEG_F",0.0636038945938888,0.0908651421032127,9.80094108845289,0.699981237267442,0.500215932063192,110.697568183012,118.329370806093,0.874321026463441,0.00771486346502198,0.873343891882301,0.232023634970439,34,0.999145803413394
"GATA3",0.0957844948395011,0.139024669697437,14.9325278515977,0.688974806039529,0.50140485468125,109.855275313962,117.487077937043,0.876979566988873,0.0121103800237388,0.87547147927915,0.231788646688253,34,0.999145803413394
"FOXO1",0.0676379452611001,0.101698903927116,11.2079955608593,0.665080375984917,0.519450150386349,110.505264608507,118.137067231588,0.880079764070393,0.00956165365560008,0.878922058730642,0.227909314962924,34,0.999145803413394
"FOXP3",0.0761238219467986,0.114721888319625,11.4683169489868,0.663550984575069,0.520093794870303,110.350891541482,117.982694164562,0.862794420109252,0.0114200276321644,0.861209427941257,0.243245203590994,34,0.999145803413394
"GUSB",0.0618730216707128,0.101276017146263,10.3403009398742,0.610934586629286,0.554434310869873,110.611539600268,118.243342223348,0.871718092307293,0.00922996641955253,0.87052302416826,0.235056469737868,34,0.999145803413394
"CD28",0.0661512154754299,0.109205074758806,11.7067933629524,0.605752210888862,0.556241626805106,110.440138702449,118.07194132553,0.879778016286794,0.00927634856929184,0.878652353217173,0.228579603640783,34,0.999145803413394
"PTPRC_1",0.0813582486262489,0.135390004822584,15.0514505980003,0.60091768763035,0.556836652821288,110.015828990169,117.64763161325,0.887969896307939,0.0121357559584018,0.886593624207191,0.222753054841712,34,0.999145803413394
"CD200R1",0.07125271562571,0.11958988258147,12.771204921024,0.595808893592397,0.561713946556438,110.277569650786,117.909372273866,0.890502559070064,0.00980480140375305,0.889418327734607,0.219874285499035,34,0.999145803413394
